objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,source,type,format,language,rights,rightsstatement,rightsstatement
snsp001,fangirl.jpg,,,Fan Girl,Antoinette Jadaone,2020-10-31,"After stowing away in the back of his onscreen idol's pickup truck, an avid fan finds out that her celebrity crush isn't quite the perfect man behind his facade of fame. ",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp002,sixdegrees.jpg,,,Six Degrees of Separation from Lilia Cuntapay,Antoinette Jadaone,2012-10-31,"In this mockumentary, Jadaone gives the iconic Lilia Cuntapay a spotlight she deserves. Despite her contributions to Philippine horror films, Cuntapay is one of those underappreciated and uncelebrated extras in the Philippine entertainment industry.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp003,thatthingcalledtadhana.jpg,,,That Thing Called Tadhana,Antoinette Jadaone,2015-02-04,A broken-hearted woman struggling to meet airline baggage requirements meets a man who comes to her aid. Their unexpected friendship and 'hugot' stories of their past relationships bring them to Sagada in their attempts to mend each other's hearts,universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp004,transit.jpg,,,Transit,Hannah Espia,2013-07-02,"Moises, a single Filipino dad, comes home to celebrate his son’s fourth birthday and learns that the Israeli government is going to deport the children of foreign workers.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp005,ruweda.jpg,,,Ruweda,Hannah Espia,2012-07-21,"Three people cross paths at a local town carnival, each with something to gain and to lose. One of them acquires it, the other two pay the price.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp006,noimg.png,,,Mamang Pulis,Hannah Espia,2012-12-18,"UP Film Institute’s property custodian, Kuya Conrado Villanueva ‘CV’ Flores wanted to be a policeman, but instead became a policeman of film equipment and film students.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/png,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp007,linguafranca.jpg,,,Lingua Franca,Isabel Sandoval,2019-09-06,"Olivia, an undocumented Filipina immigrant paranoid about deportation works as a caregiver to a Russian-Jewish grandmother in Brighton Beach, Brooklyn, NY. When the man she’s secretly paying for a green card marriage backs out, she becomes involved with a slaughterhouse worker who is unaware that she’s a trans woman.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp008,aparisyon.jpg,,,Aparisyon,Isabel Sandoval,2012-07-21,"Tucked away in a remote forest, the convent of Adoration is inhabited by a group of nuns seeking a peaceful life of devotion and discipline, filling their days with nothing but mundane chores and prayers. But the wish for a life in isolation is threatened when President Ferdinand Marcos declares martial law, and political protests and chaos begin to infiltrate every corner of the archipelago. Suddenly, the nuns find themselves engulfed in violence and unrest that will eventually put their faith and conscience to the test. ",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp009,senorita.jpg,,,Señorita,Isabel Sandoval,2011-08-06,"A transgender woman tries to leave sex work by taking care of a friend's son and joining a mayoral campaign, but she's hindered by an old client who controls the opposing campaign.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp010,aswang.jpg,,,Aswang,Alyx Arumpac,2019-11-21,"Aswang follows a group of people whose lives have been caught up in these events: a journalist who tries to make a stand against lawlessness, a coroner, a missionary brother who comforts bereaved family members, and a street kid with parents in prison and friends in the cemetery. The film is a shocking account of unprecedented violence and the moral bankruptcy of a regime that still enjoys support from voters.",universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
snsp011,athousandcuts.jpg,,,A Thousand Cuts,Ramona Diaz,2020-01-25,A look at how Philippine President Rodrigo Duterte uses social media to spread disinformation.,universities;buildings;campuses;picture postcards,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",Image;MovingImage,image/jpeg,fil,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/,http://rightsstatements.org/vocab/NoC-US/1.0/
